id,0-13,0-14,0-15,0-16,0-17,1-9,1-10,1-11,1-12,1-13,1-14,1-15,1-16,1-17,1-18,1-19,1-20,2-9,2-10,2-11,2-12,2-13,2-14,2-15,2-16,2-17,2-18,2-19,2-20,3-9,3-10,3-11,3-12,3-13,3-14,3-15,3-16,3-17,3-18,3-19,3-20,4-9,4-10,4-11,4-12,4-13,4-14,4-15,4-16,4-17,4-18,4-19,4-20,5-9,5-10,5-11,5-12,5-13,5-14,,,,,,
mzach,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2,2,2,2,0,2,2,0,0,0,0,0,0,2,2,2,2,0,0,2,2,0,0,0,0,2,2,2,0,2,2,0,0,0,Accounting & Finance,8,,,,1
jdejesus,0,0,0,0,0,2,0,2,2,0,1,1,0,0,0,0,0,2,2,2,2,2,0,0,0,2,0,1,1,2,0,0,0,2,2,2,2,0,0,1,1,0,2,2,2,2,2,0,0,0,0,0,0,2,0,2,2,0,0,Biology,,,,,1
iyu,0,1,1,1,1,2,0,2,0,1,1,2,2,0,0,0,0,2,2,2,0,2,2,2,0,2,0,0,0,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,0,2,2,2,0,2,0,2,0,1,1,Chemistry,,,,,1
eparlan,1,1,1,2,0,0,2,2,0,0,1,1,1,0,0,2,0,2,2,2,2,0,2,2,0,2,1,1,0,0,2,2,0,2,2,2,2,2,0,0,0,2,2,2,2,0,2,2,1,1,1,1,0,0,2,0,0,0,0,Chemistry,,,,,1
bwitter,0,0,0,0,0,2,2,2,0,2,1,1,0,0,2,2,0,0,0,2,2,2,0,0,0,2,1,1,0,2,2,0,0,2,2,2,2,2,2,2,2,1,1,2,2,2,0,0,0,0,0,0,0,2,2,2,0,0,0,Chemistry,,,,,1
gchang,0,0,0,0,0,2,2,2,1,1,1,1,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,2,2,2,1,1,1,1,2,2,0,0,0,0,0,0,1,1,1,1,1,2,2,0,0,2,2,2,0,0,0,Chemistry,-2,,,,1
jli,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,2,2,2,2,0,2,2,2,0,1,1,0,0,0,0,2,0,2,2,0,0,1,1,0,2,2,2,2,0,0,0,0,1,1,0,0,0,0,2,0,0,2,Chinese,,,,,1
kstutz,0,0,1,1,1,0,0,2,2,2,2,2,2,2,0,0,0,0,0,2,2,1,1,1,1,2,0,2,2,0,0,2,0,0,2,2,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,1,1,0,0,2,2,2,1,Classics,,,,,1
klamar,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,2,2,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Writing Advisor,-2,,,,1
sberling,0,0,0,0,0,2,2,0,2,0,2,0,0,0,0,0,0,1,1,1,2,2,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,2,2,0,2,0,2,Computer Science,-2,,,,1
mkraus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,2,2,2,1,1,1,0,0,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,Economics,-2,,,,1
glizier,1,1,1,1,1,0,2,2,0,0,2,2,2,0,0,1,1,0,2,0,0,0,2,0,0,0,0,1,1,0,2,2,0,0,2,2,2,0,0,1,1,0,0,0,2,2,0,1,1,0,0,0,0,0,2,2,0,0,2,Economics,,,,,1
cvanboven,0,0,0,0,0,0,0,0,0,2,0,2,2,0,1,1,0,2,2,2,2,0,0,2,2,0,0,0,0,1,1,0,0,2,0,2,2,0,0,0,0,2,2,2,2,0,0,2,2,0,1,1,0,0,0,0,0,2,0,Exercise Science,,,,,1
lroberts,2,2,2,2,2,0,2,2,0,0,0,0,0,0,2,2,0,2,2,2,2,0,2,2,2,2,0,0,2,0,2,2,1,1,0,0,0,0,1,1,0,2,2,2,2,1,1,1,0,0,0,0,2,0,2,2,0,0,0,Exercise Science,,,,,1
zbranch,0,0,0,0,0,1,1,1,0,0,2,0,2,2,2,2,0,1,1,1,0,0,0,0,2,2,0,0,0,1,1,1,0,0,2,0,2,2,2,2,0,1,1,1,0,0,0,0,2,2,0,2,0,1,1,1,0,0,2,French,Writing Advisor,10,-2,,1
mpoplawsky,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,2,0,0,2,0,2,2,1,1,2,2,0,0,2,0,2,2,0,0,2,0,1,1,0,0,2,0,0,0,2,2,0,0,2,2,0,1,1,0,2,2,0,0,2,French,,,,,1
kmoffett,0,0,0,0,0,2,2,0,1,1,0,2,2,2,2,2,0,2,2,0,1,1,0,2,2,2,2,2,2,2,2,0,1,1,0,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,German,,,,,1
bimada,0,0,0,0,0,2,2,2,0,0,2,2,1,1,0,0,0,2,2,2,2,2,1,1,1,2,0,0,0,1,1,2,1,1,2,2,0,0,0,0,0,0,0,0,2,2,0,2,2,2,2,0,0,2,2,2,0,0,0,Japanese,,,,,1
rchaiser,0,0,0,0,0,2,2,0,0,2,2,1,1,1,2,2,0,0,2,0,2,2,2,0,2,2,0,0,0,2,1,1,1,1,2,1,1,1,1,0,0,0,2,0,2,2,0,1,1,1,1,0,0,2,2,0,0,2,2,Math,,,,,1
mberrens,1,1,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,0,2,2,0,2,0,0,0,0,1,1,0,0,0,0,2,2,0,1,1,0,0,0,0,0,2,2,0,2,0,Math,,,,,1
jfonseca,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,2,0,2,0,0,Physics,Writing Advisor,Academic Consultant,12,-2,1
kmiller,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,2,0,2,2,0,0,0,0,1,1,0,0,2,2,0,1,1,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,Physics,-2,,,,1
jholgate,0,0,0,0,0,0,2,2,0,0,2,2,1,1,0,2,0,0,0,0,2,2,2,2,0,0,0,0,2,0,2,2,0,0,2,2,0,0,0,2,2,0,1,1,2,2,2,2,0,0,0,0,2,0,2,2,0,0,0,Spanish,-2,,,,1
asalado,0,0,0,0,0,0,0,2,0,2,2,1,1,1,1,1,1,2,2,0,0,2,2,2,1,1,1,1,1,0,0,2,0,2,2,1,1,1,1,0,1,2,2,1,1,1,1,1,1,1,1,0,1,0,0,2,0,2,2,Spanish,,,,,1
jhutcheson,1,1,1,1,0,0,0,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,2,2,0,0,0,0,0,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,0,1,1,1,1,1,1,Spanish,,,,,1
ctomkins,0,0,0,0,0,2,0,2,0,0,1,1,1,0,0,0,0,2,0,0,0,0,2,2,2,2,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,0,2,0,2,1,1,1,Statistics,,,,,1
esmith,2,2,2,2,2,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,0,0,0,0,1,1,2,2,2,2,2,0,0,2,2,2,2,1,1,2,2,2,2,0,0,2,2,2,2,2,2,Statistics,-2,,,,1
iamaya,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,2,2,2,2,2,0,2,2,0,1,1,1,1,1,1,Writing Advisor,,,,,1
ianderson,2,2,2,2,2,1,1,2,0,0,2,0,0,0,0,0,0,2,2,2,0,2,2,2,2,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,2,2,2,0,0,0,0,2,0,0,0,0,1,1,2,0,0,2,Writing Advisor,9,-2,,,1
lbengtson,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,2,2,1,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,0,0,0,0,0,0,2,1,1,0,0,0,Psychology Statistics,Writing Advisor,-2,,,1
adiaz,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,2,2,1,0,2,2,2,0,0,0,2,0,0,0,1,0,2,2,0,0,0,0,0,0,2,2,1,0,2,2,2,0,0,0,2,2,0,0,1,2,2,2,Writing Advisor,-2,,,,1
tgill,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,2,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,Writing Advisor,Academic Consultant,12,-2,,1
akabir,2,2,2,2,2,0,2,1,1,1,1,1,2,2,2,2,2,0,1,1,2,2,0,0,2,2,2,2,2,2,2,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,0,2,1,1,0,2,Writing Advisor,,,,,1
hkatz,1,1,1,1,2,0,2,0,2,2,1,1,0,0,2,2,0,1,1,2,2,0,2,2,0,2,0,0,0,0,2,0,0,1,1,1,0,0,1,1,2,1,1,2,2,0,2,2,0,0,0,0,0,1,1,0,2,2,0,Writing Advisor,,,,,1
wkeyse,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,Writing Advisor,,,,,1
rlaitila,0,0,0,0,0,1,1,1,1,0,2,0,2,0,0,0,0,2,2,0,0,0,0,2,2,2,0,0,0,0,0,1,1,0,2,0,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,2,Writing Advisor,,,,,1
aluong,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,2,2,0,0,2,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,Writing Advisor,3,-2,,,1
lmorton,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,2,2,2,2,2,0,0,2,2,0,1,1,1,1,1,0,2,0,0,2,2,0,0,0,2,2,2,2,2,0,0,2,2,0,1,1,2,2,2,2,2,2,Writing Advisor,12,,,,1
smyers,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,2,0,0,2,1,1,0,0,1,1,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,Writing Advisor,Academic Consultant,-2,,,1
mtaponga,0,2,2,2,0,2,2,0,0,0,2,2,0,2,2,0,0,2,2,2,2,1,1,1,1,2,0,0,0,2,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,1,1,1,1,0,0,0,0,2,2,0,1,1,1,Writing Advisor,,,,,1
swalling,0,0,0,1,1,2,0,2,0,0,2,2,1,1,0,0,0,1,1,0,0,0,2,2,0,2,0,2,0,2,0,2,0,0,2,2,0,0,0,2,0,0,0,0,2,2,2,2,0,0,0,2,2,2,0,2,1,1,0,Writing Advisor,,,,,1
,37,36,36,35,36,27,19,21,33,30,23,27,29,33,28,28,39,20,18,22,15,19,21,19,22,14,32,32,34,28,20,27,40,32,19,20,24,28,30,30,32,20,19,22,13,21,30,25,27,32,33,33,34,25,20,20,32,30,26,,,,,,